!DownloadDisplay,Copyright,Country,Dataset (Source/Database Name),Definition,Forecast Starts From,Indicators,Methodology Notes,Quantity,Year,Min. Sort order
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget revenue refers to refers to an estimate, often itemized, of expected income for a given period for a country.",2019,Public sector finances: budget revenue, ,Currency (USD) - Millions,1990,171
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget revenue refers to refers to an estimate, often itemized, of expected income for a given period for a country.",2019,Public sector finances: budget revenue, ,Currency (USD) - Millions,1989,171
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget revenue refers to refers to an estimate, often itemized, of expected income for a given period for a country.",2019,Public sector finances: budget revenue, ,Currency (USD) - Millions,1988,171
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget revenue refers to refers to an estimate, often itemized, of expected income for a given period for a country.",2019,Public sector finances: budget revenue, ,Currency (USD) - Millions,1987,171
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget revenue refers to refers to an estimate, often itemized, of expected income for a given period for a country.",2019,Public sector finances: budget revenue, ,Currency (USD) - Millions,1986,171
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget revenue refers to refers to an estimate, often itemized, of expected income for a given period for a country.",2019,Public sector finances: budget revenue, ,Currency (USD) - Millions,1985,171
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget revenue refers to refers to an estimate, often itemized, of expected income for a given period for a country.",2019,Public sector finances: budget revenue, ,Currency (USD) - Millions,1984,171
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget revenue refers to refers to an estimate, often itemized, of expected income for a given period for a country.",2019,Public sector finances: budget revenue, ,Currency (USD) - Millions,1983,171
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget revenue refers to refers to an estimate, often itemized, of expected income for a given period for a country.",2019,Public sector finances: budget revenue, ,Currency (USD) - Millions,1982,171
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget revenue refers to refers to an estimate, often itemized, of expected income for a given period for a country.",2019,Public sector finances: budget revenue, ,Currency (USD) - Millions,1981,171
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget revenue refers to refers to an estimate, often itemized, of expected income for a given period for a country.",2019,Public sector finances: budget revenue, ,Currency (USD) - Millions,1980,171
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget revenue refers to refers to an estimate, often itemized, of expected income for a given period for a country.",2019,Public sector finances: budget revenue, ,Currency (USD) - Millions,1979,171
