!DownloadDisplay,Copyright,Country,Dataset (Source/Database Name),Definition,Forecast Starts From,Indicators,Methodology Notes,Quantity,Year,Min. Sort order
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget expenditure refers to an estimate, often itemized, of expected expenses for a given period for a country. It includes capital expenditures",2019,Public sector finances: budget expenditure, ,Currency (USD) - Millions,1990,172
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget expenditure refers to an estimate, often itemized, of expected expenses for a given period for a country. It includes capital expenditures",2019,Public sector finances: budget expenditure, ,Currency (USD) - Millions,1989,172
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget expenditure refers to an estimate, often itemized, of expected expenses for a given period for a country. It includes capital expenditures",2019,Public sector finances: budget expenditure, ,Currency (USD) - Millions,1988,172
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget expenditure refers to an estimate, often itemized, of expected expenses for a given period for a country. It includes capital expenditures",2019,Public sector finances: budget expenditure, ,Currency (USD) - Millions,1987,172
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget expenditure refers to an estimate, often itemized, of expected expenses for a given period for a country. It includes capital expenditures",2019,Public sector finances: budget expenditure, ,Currency (USD) - Millions,1986,172
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget expenditure refers to an estimate, often itemized, of expected expenses for a given period for a country. It includes capital expenditures",2019,Public sector finances: budget expenditure, ,Currency (USD) - Millions,1985,172
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget expenditure refers to an estimate, often itemized, of expected expenses for a given period for a country. It includes capital expenditures",2019,Public sector finances: budget expenditure, ,Currency (USD) - Millions,1984,172
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget expenditure refers to an estimate, often itemized, of expected expenses for a given period for a country. It includes capital expenditures",2019,Public sector finances: budget expenditure, ,Currency (USD) - Millions,1983,172
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget expenditure refers to an estimate, often itemized, of expected expenses for a given period for a country. It includes capital expenditures",2019,Public sector finances: budget expenditure, ,Currency (USD) - Millions,1982,172
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget expenditure refers to an estimate, often itemized, of expected expenses for a given period for a country. It includes capital expenditures",2019,Public sector finances: budget expenditure, ,Currency (USD) - Millions,1981,172
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget expenditure refers to an estimate, often itemized, of expected expenses for a given period for a country. It includes capital expenditures",2019,Public sector finances: budget expenditure, ,Currency (USD) - Millions,1980,172
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget expenditure refers to an estimate, often itemized, of expected expenses for a given period for a country. It includes capital expenditures",2019,Public sector finances: budget expenditure, ,Currency (USD) - Millions,1979,172
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget expenditure refers to an estimate, often itemized, of expected expenses for a given period for a country. It includes capital expenditures",2019,Public sector finances: budget expenditure, ,Currency (USD) - Millions,1978,172
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget expenditure refers to an estimate, often itemized, of expected expenses for a given period for a country. It includes capital expenditures",2019,Public sector finances: budget expenditure, ,Currency (USD) - Millions,1977,172
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget expenditure refers to an estimate, often itemized, of expected expenses for a given period for a country. It includes capital expenditures",2019,Public sector finances: budget expenditure, ,Currency (USD) - Millions,1976,172
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget expenditure refers to an estimate, often itemized, of expected expenses for a given period for a country. It includes capital expenditures",2019,Public sector finances: budget expenditure, ,Currency (USD) - Millions,1975,172
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget expenditure refers to an estimate, often itemized, of expected expenses for a given period for a country. It includes capital expenditures",2019,Public sector finances: budget expenditure, ,Currency (USD) - Millions,1974,172
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget expenditure refers to an estimate, often itemized, of expected expenses for a given period for a country. It includes capital expenditures",2019,Public sector finances: budget expenditure, ,Currency (USD) - Millions,1973,172
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget expenditure refers to an estimate, often itemized, of expected expenses for a given period for a country. It includes capital expenditures",2019,Public sector finances: budget expenditure, ,Currency (USD) - Millions,1972,172
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget expenditure refers to an estimate, often itemized, of expected expenses for a given period for a country. It includes capital expenditures",2019,Public sector finances: budget expenditure, ,Currency (USD) - Millions,1971,172
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget expenditure refers to an estimate, often itemized, of expected expenses for a given period for a country. It includes capital expenditures",2019,Public sector finances: budget expenditure, ,Currency (USD) - Millions,1970,172
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget expenditure refers to an estimate, often itemized, of expected expenses for a given period for a country. It includes capital expenditures",2019,Public sector finances: budget expenditure, ,Currency (USD) - Millions,1969,172
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget expenditure refers to an estimate, often itemized, of expected expenses for a given period for a country. It includes capital expenditures",2019,Public sector finances: budget expenditure, ,Currency (USD) - Millions,1968,172
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget expenditure refers to an estimate, often itemized, of expected expenses for a given period for a country. It includes capital expenditures",2019,Public sector finances: budget expenditure, ,Currency (USD) - Millions,1967,172
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget expenditure refers to an estimate, often itemized, of expected expenses for a given period for a country. It includes capital expenditures",2019,Public sector finances: budget expenditure, ,Currency (USD) - Millions,1966,172
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget expenditure refers to an estimate, often itemized, of expected expenses for a given period for a country. It includes capital expenditures",2019,Public sector finances: budget expenditure, ,Currency (USD) - Millions,1965,172
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget expenditure refers to an estimate, often itemized, of expected expenses for a given period for a country. It includes capital expenditures",2019,Public sector finances: budget expenditure, ,Currency (USD) - Millions,1964,172
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget expenditure refers to an estimate, often itemized, of expected expenses for a given period for a country. It includes capital expenditures",2019,Public sector finances: budget expenditure, ,Currency (USD) - Millions,1963,172
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget expenditure refers to an estimate, often itemized, of expected expenses for a given period for a country. It includes capital expenditures",2019,Public sector finances: budget expenditure, ,Currency (USD) - Millions,1962,172
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget expenditure refers to an estimate, often itemized, of expected expenses for a given period for a country. It includes capital expenditures",2019,Public sector finances: budget expenditure, ,Currency (USD) - Millions,1961,172
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget expenditure refers to an estimate, often itemized, of expected expenses for a given period for a country. It includes capital expenditures",2019,Public sector finances: budget expenditure, ,Currency (USD) - Millions,1960,172
